ID,classification,correct
809,REAL,FAKE
831,REAL,REAL
832,REAL,FAKE
838,REAL,FAKE
84,REAL,REAL
840,REAL,FAKE
846,REAL,FAKE
850,REAL,FAKE
851,REAL,REAL
855,REAL,REAL
856,REAL,FAKE
857,REAL,REAL
858,REAL,FAKE
864,REAL,FAKE
866,REAL,REAL
868,REAL,FAKE
874,REAL,FAKE
879,REAL,FAKE
88,REAL,REAL
887,REAL,REAL
895,REAL,FAKE
90,REAL,REAL
906,REAL,FAKE
912,REAL,REAL
915,REAL,REAL
919,REAL,REAL
92,REAL,REAL
922,REAL,REAL
925,REAL,REAL
933,REAL,REAL
936,REAL,FAKE
96,REAL,REAL
973,REAL,REAL
985,REAL,FAKE
988,REAL,REAL
989,REAL,REAL
991,REAL,FAKE
993,REAL,REAL
999,REAL,FAKE
